,origem,destino,distance,STEPS_Status.FULL_JUMP,STEPS_Status.SINGLE_JUMP,STEPS_Status.SEQUENTIAL
1982,441,210,-231,50,755,770
1983,710,234,-476,35,510,525
1984,415,829,414,29,400,415
1985,469,644,175,15,161,176
1986,7,204,197,15,183,198
1987,790,48,-742,18,244,259
1988,783,354,-429,39,557,572
1989,186,126,-60,61,926,941
1990,619,170,-449,38,537,552
1991,964,938,-26,64,960,975
1992,572,804,232,16,218,233
1993,956,717,-239,50,747,762
1994,661,979,318,23,304,319
1995,873,619,-254,49,732,747
1996,680,841,161,12,147,162
1997,89,500,411,29,397,412
1998,755,822,67,7,53,68
1999,84,611,527,37,513,528
2000,216,461,245,18,231,246
2001,993,884,-109,59,877,892
2002,775,952,177,13,163,178
2003,891,557,-334,44,652,667
2004,367,413,46,6,32,47
2005,843,684,-159,55,827,842
2006,292,0,-292,46,694,709
2007,283,607,324,22,310,325
2008,473,609,136,10,122,137
2009,931,201,-730,20,256,271
2010,144,502,358,25,344,359
2011,208,764,556,37,542,557
2012,714,297,-417,40,569,584
2013,923,348,-575,29,411,426
2014,38,65,27,5,13,28
2015,234,617,383,28,369,384
2016,454,767,313,22,299,314
2017,602,237,-365,43,621,636
2018,331,622,291,21,277,292
2019,122,709,587,40,573,588
2020,789,715,-74,61,912,927
2021,470,438,-32,62,954,969
2022,270,340,70,7,56,71
2023,847,356,-491,35,495,510
2024,95,64,-31,63,955,970
2025,680,112,-568,28,418,433
2026,25,639,614,41,600,615
2027,426,72,-354,43,632,647
2028,518,584,66,6,52,67
2029,890,428,-462,36,524,539
2030,399,845,446,31,432,447
2031,687,461,-226,51,760,775
2032,127,270,143,13,129,144
2033,67,571,504,33,490,505
2034,905,287,-618,27,368,383
2035,200,794,594,39,580,595
2036,100,958,858,56,844,859
2037,198,175,-23,63,963,978
2038,107,882,775,52,761,776
2039,865,12,-853,12,133,148
2040,96,525,429,30,415,430
2041,507,781,274,19,260,275
2042,817,522,-295,46,691,706
2043,155,294,139,12,125,140
2044,782,791,9,3,3,10
2045,322,662,340,23,326,341
2046,809,568,-241,51,745,760
2047,689,620,-69,61,917,932
2048,112,415,303,23,289,304
2049,918,833,-85,60,901,916
2050,329,766,437,30,423,438
2051,587,702,115,10,101,116
2052,571,365,-206,52,780,795
